Question,Expected Answer,Generated Answer
Which roles did Bebe Neuwirth play in the 1986 Sweet Charity and which other role in the 1996 Chicago?,"On stage, Bebe Neuwirth played the role of Nickie in Sweet Charity (1986) and Velma Kelly in Chicago (1996).","Bebe Neuwirth played the role of Nickie, Charity standby in the 1986 Sweet Charity and the role of Velma Kelly in the 1996 Chicago."
What years did Ryan Kwanten appear in the films Flicka and as Jamie Ashen in Dead Silence?,Ryan Kwanten appeared in the films Flicka (2006) and as Jamie Ashen in Dead Silence (2007).,2006 for Flicka and 2007 for Dead Silence.
"What were Usian Bolts record finishes in the 200 meter, 400 meter and 4 × 100 m race?","In the boys' U-20 category, Usain Bolt from Jamaica records finishing the 200 meters in 20.43s, the 400 meters in 46.35s, and together with the Jamaican 4 × 100 m relay team in 39.43s.","Usain Bolt's record finishes in the 200 meter, 400 meter and 4 × 100 m race were 20.43 CR, 46.35 CR and 39.43 CR respectively."
Which car won in 1986 and who was the driver?,The 1986 champion was the #1 Advan Nova Porsche 962C driven by Kunimitsu Takahashi.,The Porsche 956 driven by #7 Trust Racing Team (ja) won in 1986.
"What year did Philip I the Amorous become King of the Franks, what year did that run end, and what number king was he?","Philip I the Amorous, was King of the Franks from 1060 to 1108, the fourth from the House of Capet.",Philip I the Amorous became King of the Franks in 1060 and his reign ended in 1108. He was the 7th King of the Franks.
How many of each type of local government are in the Indian state of Kerala?,"Kerala has 941 Grama panchayats, 152 Block Panchayats, 14 District Panchayats, 87 Municipalities, 6 Corporations and a total of 1200 Local Government.","Grama Panchayat: 941, Block Panchayat: 152, District Panchayat: 14, Municipality: 87, Municipal Corporation: 0."
What was the approval percentage and turnout for the 1991 Macedonian independence referendum vote?,"Macedonian independence referendum was approved by 96.4% of votes, with a turnout of 75.7%.",The approval percentage was 96.4% and the turnout was 75.7%.
"How many students were accepted from the 21,359 people who applied for the University of  Oregon in 2014 and how many students enrolled?","For students entering University of Oregon 2014, 15,997 freshmen were accepted out of 21,359 applicants, a 74.9% acceptance rate, and 3,961 enrolled.","15,997 students were accepted from the 21,359 people who applied for the University of Oregon in 2014 and 3,961 students enrolled."
How many appearances did Dwight Yorke make for Manchester United?,Dwight Yorke made 147 appearances for Manchester United.,51
What record time did Jamal Walton win gold for in the 2017 Pan American U20 championships? ,Jamal Walton won a gold medal at the 2017 Pan American U20 Championships with a record of 44.99.,44.99
How many votes was the Democratic party and the Five star Movement endorsed with in the Aosta Valley?,"In Aosta Valley the Democratic Party was endorsed with 47.1% of the vote, followed by the Five Star Movement, second at 19.6%.","The Democratic Party was endorsed with 21,854 votes and the Five Star Movement was endorsed with 9,096 votes in the Aosta Valley."
What was Corbett’s record from 1971 to 1979?,"In the NCAA Division II season for Lincoln, Don Corbett led his teams to an eight-year 159–59 record, from 1971 to 1979.","From 1971 to 1979, Don Corbett had an overall record of 86-39."
What was the result of the 1918 election and which politicians died in 1918?,"Wellington Central by-election in 1918 was won by Peter Fraser, Henry Okey of Taranaki died in 1918 and the by-election was won by Sydney Smith, and Alfred Hindmarsh of Wellington South died in 1918.","The 1918 election results were Bob Semple winning Wellington South, Sydney Smith winning Taranaki, Harold Smith winning Pahiatua, Peter Fraser winning Wellington Central, and Jimmy Nash winning Palmerston. Alfred Hindmarsh, Henry Okey, James Escott, Robert Fletcher, and David Buick all died in 1918."
Who succeeded Artaxerxes II?,In 358 BC Artaxerxes II was succeeded by Artaxerxes III.,Artaxerxes III
"Who led the NL in average and RBIs during 1948, and what were his totals in those categories?",Musial led the NL in average (.376) and RBI (131).,Stan Musial SLC led the NL in average (.376) and RBIs (131) during 1948.
"What duo finished second in the election, what duo won the election, what percentage of vote did each duo receive, and what party was victorious?","The Crist-Taddeo lost the election to Republican Rick Scott and Carlos López-Cantera, 48.1 to 47.1%.","The Democratic duo of Franklin D. Roosevelt and John N. Garner won the election with 69.59% of the vote, while the Republican duo of Herbert Hoover and Charles Curtis finished second with 28.90% of the vote. The Democratic Party was victorious."
"How many tests, ODIs did Gargi Banerji play, and how many test runs did he get?",Gargi Banerji played a total of 12 Tests and 26 ODIs and scored 614 runs.,"Gargi Banerji played 12 Tests and 26 ODIs, and he got 614 test runs."
How did Nikolay Kolesnikov do at the 1976 Olympics and at the 60 metres at the 1978 European Indoor Championships?,Nikolay Kolesnikov won a bronze medal at the 1976 Olympics and won the 60 metres at the 1978 European Indoor Championships.,Nikolay Kolesnikov won 1st place at the 60 metres at the 1978 European Indoor Championships and 3rd place at the 4 × 100 m relay at the 1976 Olympics.
Where has Hit Network expanded their station?,Hit Network grew in Canberra with 104.7 and NXFM in Newcastle.,"Hit Network has expanded their station to Regional Australia, Newcastle, Adelaide, and Brisbane."
Who won the 1932 United States presidential election in North Dakota and what was the vote breakdown?,"In the 1932 United States presidential election in North Dakota, Franklin D. Roosevelt of the Democratic party won with 69.59% of the popular vote and Herbert Hoover of the Republican party achieved 28.00%.","Franklin D. Roosevelt won the 1932 United States presidential election in North Dakota with 178,350 votes, which was 69.59% of the total votes (256,290). Herbert Hoover (inc.) received 71,772 votes (27.86%), Norman Thomas received 3,521 votes (1.37%), William Hope Harvey received 1,817 votes (0.71%), and William Z. Foster received 830 votes (0.32%)."
Who were the first two players to join Yeovil Town F.C. in the 2002-03 season?,"In the 2002–03 season, Gavin Williams from Hereford United joined Yeovil Town F.C. for a fee of £22,500, and Abdoulaye Demba Oostende joined for free.",The first two players to join Yeovil Town F.C. in the 2002-03 season were Jimmy Aggrey and Gavin Williams.
"Who was awarded a Golden Scarf by Seattle Sounders FC on June 5, 2010?","Michelle was awarded a Golden Scarf by Seattle Sounders FC on June 5, 2010.",Michelle French
When did Flash Airlines shut down?,"Flash Airlines' last plane, a Boeing 737-3Q8, exited service in 5 March 2004 because it became N271LF with ILFC.",Flash Airlines shut down on 5 March 2004.
What were the font-versions that were available from Core fonts for the Web project published in 2000?,"The font-versions that were available from Core fonts for the Web project were 2.x (e.g. 2.82 for Arial, Times New Roman and Courier New for MS Windows), published in 2000.","The font-versions available from Core fonts for the Web project published in 2000 were Arial for Windows 9x, NT and Windows 2000 version 2.82, Andalé Mono for Windows 9x, NT and Windows 2000 version 2.00, Arial Black for Windows 9x, NT and Windows 2000 version 2.35, and Verdana for Windows 3.1 and 3.11 version 1.01."
Which medal did Hailu Mekonnen win in the 5000 m at the 1998 African Championships?,Mekonnen won the silver medal in the 5000 m at the 1998 African Championships.,Hailu Mekonnen won a silver medal in the 5000 m at the 1998 African Championships.
What is Revolutionary Communist Party of Britain highest recorded vote?,"Revolutionary Communist Party of Britain highest recorded vote was 612 (1.2%) by Candidate A. D. Rifkin in Portsmouth South, during the 1974 general election.",612
"What were the number of child deaths in 2014, 2015, and 2016 at Gorakhpur Hospital?","The number of child deaths were 5,850 in 2014; 6,917 in 2015; and 6,121 in 2016.","5,850 in 2014, 6,917 in 2015, and 6,121 in 2016."
In which two events does Macarena Reyes hold Chilean records?,Macarena Reyes holds Chilean records in the long jump and heptathlon.,Macarena Reyes holds Chilean records in the Heptathlon and Long Jump.
Which teams were competing for the Stanley Cup in the 2013-14 NHL season?,"The Los Angeles Kings won the Stanley Cup, defeating the New York Rangers.",The Los Angeles Kings and the New York Rangers were competing for the Stanley Cup in the 2013-14 NHL season.
When was the second time that Pequeño Damián lost his hair?,"On June 2, 2009, Pequeño Damián 666 lost a Luchas de Apuetas match to Shockercito, losing his hair for the second time in his career.","May 29, 2010"
"In what film did Holliday Grainger play Baroness, and what year did that film come out?","Holliday Grainger, played a role in the 2012 film, Anna Karenina as ""Baroness"".",Holliday Grainger played Baroness in the 2012 film Anna Karenina.
What was the fifth single on Jaria Burns's Album Burn Slow? ,"""Sugarcoat"" was released in 2018, as Burns' fifth single from Burn Slow.","""Low Key in Love"""
What aircrafts does 28th Air Detachment operate?,"28th Air Detachment operates 1 Airbus A319, 1 Dassault Falcon 2000, 2 Mi-8 and 1 AgustaWestland AW109.","The 28th Air Detachment operates the Airbus A319, Dassault Falcon 2000, Mi-8, and AgustaWestland AW109."
